timestamp,aqi,pm25,pm10,source,location,collected_at,fetch_type,_id
2026-01-31T00:00,75,46.1,48.4,Open-Meteo,Karachi,2026-01-31T07:45:24.328953,incremental,697db3144aa9c4e443cce9c5
2026-01-31T01:00,78,43.1,44.2,Open-Meteo,Karachi,2026-01-31T07:45:24.328956,incremental,697db3144aa9c4e443cce9c6
2026-01-31T02:00,80,39.3,40.0,Open-Meteo,Karachi,2026-01-31T07:45:24.328959,incremental,697db3144aa9c4e443cce9c7
2026-01-31T03:00,82,37.4,38.1,Open-Meteo,Karachi,2026-01-31T07:45:24.328962,incremental,697db3144aa9c4e443cce9c8
2026-01-31T04:00,84,36.1,36.8,Open-Meteo,Karachi,2026-01-31T07:45:24.328966,incremental,697db3144aa9c4e443cce9c9
2026-01-31T05:00,86,35.0,36.0,Open-Meteo,Karachi,2026-01-31T07:45:24.328969,incremental,697db3144aa9c4e443cce9ca
2026-01-31T06:00,87,34.7,35.7,Open-Meteo,Karachi,2026-01-31T07:45:24.328972,incremental,697db3144aa9c4e443cce9cb
2026-01-31T07:00,89,36.2,37.5,Open-Meteo,Karachi,2026-01-31T07:45:24.328975,incremental,697db3144aa9c4e443cce9cc
2026-01-31T08:00,90,41.6,43.1,Open-Meteo,Karachi,2026-01-31T07:45:24.328978,incremental,697db3144aa9c4e443cce9cd
2026-01-31T09:00,92,43.0,44.8,Open-Meteo,Karachi,2026-01-31T07:45:24.328981,incremental,697db3144aa9c4e443cce9ce
2026-01-31T10:00,93,37.3,40.4,Open-Meteo,Karachi,2026-01-31T07:45:24.328984,incremental,697db3144aa9c4e443cce9cf
2026-01-31T11:00,94,28.5,31.9,Open-Meteo,Karachi,2026-01-31T07:45:24.328987,incremental,697db3144aa9c4e443cce9d0
2026-01-31T12:00,95,25.6,30.4,Open-Meteo,Karachi,2026-01-31T07:45:24.328992,incremental,697db3144aa9c4e443cce9d1
2026-01-31T13:00,96,25.7,32.5,Open-Meteo,Karachi,2026-01-31T07:45:24.328995,incremental,697db3144aa9c4e443cce9d2
2026-01-31T14:00,97,26.9,36.2,Open-Meteo,Karachi,2026-01-31T07:45:24.328998,incremental,697db3144aa9c4e443cce9d3
2026-01-31T15:00,98,28.9,40.0,Open-Meteo,Karachi,2026-01-31T07:45:24.329001,incremental,697db3144aa9c4e443cce9d4
2026-01-31T16:00,99,31.1,42.5,Open-Meteo,Karachi,2026-01-31T07:45:24.329003,incremental,697db3144aa9c4e443cce9d5
2026-01-31T17:00,100,33.1,43.2,Open-Meteo,Karachi,2026-01-31T07:45:24.329006,incremental,697db3144aa9c4e443cce9d6
2026-01-31T18:00,116,35.6,43.0,Open-Meteo,Karachi,2026-01-31T07:45:24.329009,incremental,697db3144aa9c4e443cce9d7
2026-01-31T19:00,130,38.0,43.8,Open-Meteo,Karachi,2026-01-31T07:45:24.329014,incremental,697db3144aa9c4e443cce9d8
2026-01-31T20:00,130,36.0,41.9,Open-Meteo,Karachi,2026-01-31T07:45:24.329016,incremental,697db3144aa9c4e443cce9d9
2026-01-31T21:00,121,34.2,40.7,Open-Meteo,Karachi,2026-01-31T07:45:24.329019,incremental,697db3144aa9c4e443cce9da
2026-01-31T22:00,105,34.9,41.9,Open-Meteo,Karachi,2026-01-31T07:45:24.329022,incremental,697db3144aa9c4e443cce9db
2026-01-31T23:00,100,38.9,45.6,Open-Meteo,Karachi,2026-01-31T07:45:24.329025,incremental,697db3144aa9c4e443cce9dc
