,0
lag_1h,2.532814502611209
rolling_min_3h,2.0565146064031072
rolling_max_3h,1.9940259766823774
rolling_mean_3h,1.9544254226723137
lag_2h,1.9185228332760196
rolling_min_6h,1.7757289959313298
rolling_max_6h,1.683502714809828
lag_3h,1.553913425811333
rolling_mean_6h,1.537620280452984
rolling_min_12h,1.4771225699166441
rolling_max_12h,1.322290697623702
rolling_min_24h,1.3117942529175939
roc_1h,1.1870353051938936
rolling_mean_168h,1.1725852117748707
weekly_seasonal,1.1719465918824556
rolling_mean_12h,1.1560946761684683
rolling_max_24h,1.1118257637604922
lag_6h,1.0864624975890802
rolling_std_168h,1.053317643660598
day_of_month,1.0293812389698682
rolling_min_72h,0.9725567543951095
diff_week,0.9488348818066887
rolling_mean_72h,0.9346177124920834
roc_24h,0.9287354964621097
daily_seasonal,0.8734158197881454
rolling_mean_24h,0.8727820699600244
rolling_std_72h,0.8559153370752082
rolling_max_72h,0.8443871804910348
diff_24h,0.8442947525684081
lag_24h,0.7383799811032441
lag_same_hour_yesterday,0.7351216326429513
lag_12h,0.7111102325623166
target_24h,0.6834109587000046
rolling_trend_24h,0.6818692461369373
lag_120h,0.6651934237711967
lag_144h,0.6426097559190311
lag_168h,0.6381442196006915
lag_72h,0.631893008977483
lag_96h,0.6314410550120466
lag_same_hour_last_week,0.6290999338962417
lag_48h,0.6246606459211268
rolling_min_168h,0.5969133304448828
target_72h,0.5958079791407918
rolling_std_24h,0.5879873725618396
rolling_max_168h,0.5812264679172312
pm10,0.42840898690583096
rolling_std_12h,0.278858390533399
diff_3h,0.26676709144657984
day_of_week,0.25350511511258933
day_sin,0.24676351113246486
rolling_std_6h,0.24165418259941296
month,0.13328051498334603
rolling_std_3h,0.13280835609953323
day_cos,0.11157802067822331
diff_1h,0.09609918021821562
aqi_hour_interaction,0.08754523038040274
is_weekend,0.05222439938666423
is_afternoon,0.03209590998558931
is_evening,0.02120146480974916
is_morning,0.00897264650444285
is_night,0.0
hour_cos,0.0
hour_sin,0.0
hourly_seasonal,0.0
hour,0.0
